name,category,tent,locationIds,booths
"Crop Aid Nutrition, Saskatoon, SK",outdoor,,2A-07,2A-07
"Culligan, Cambridge",outdoor,,3B-01-02,3B-01|3B-02
"Cuneo Interiors Limited, Walkerton",outdoor,,2A-30,2A-30
Dairy Farmers of Ontario,outdoor,,3A-14-16,3A-14|3A-15|3A-16
Dancing Tractors / Combine Derby,outdoor,,WEST-2,WEST-2
"De Dell Seeds Inc., Melbourne",outdoor,,2B-15,2B-15
"Diamond Roof, Wingham",outdoor,,4B-30,4B-30
Wroxeter,outdoor,,4A-29-30,4A-29|4A-30
Dodge RAM,outdoor,,5A-01-04,5A-01|5A-02|5A-03|5A-04
"Drone Spray Canada, Granton, Blenheim",outdoor,,1A-06,1A-06
"Eastern Silk Road, Kitchener",outdoor,,4B-02,4B-02
"Riviere-de-Loup, QC",outdoor,,2A-28,2A-28
Equipment Demo Area,outdoor,,WEST-1,WEST-1
"Equipment Ontario, Mildmay",outdoor,,1A-10-12,1A-10|1A-11|1A-12
"Evelyn Piper Exclusive, Ajax",outdoor,,4A-12,4A-12
"Farm Sip Supreme Canada, Mount Forest",outdoor,,1A-17,1A-17
Alexandria,outdoor,,2A-17-18,2A-17|2A-18
"Ferntree Equipment & Distribution, Guelph",outdoor,,5A-34,5A-34
"Foxton Fuels Limited, Wingham",outdoor,,2B-10-12,2B-10|2B-11|2B-12
"Fruitage of the Field, Chelsey",outdoor,,4B-24,4B-24
Gay Lea Foods Co-operative Ltd,outdoor,,2B-03-04,2B-03|2B-04
4B 17-22),indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Agilec Employment Services, Wingham",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Alair Homes Huron, Southampton",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Ben Lobb Member of Parliament for Huron Bruce, Goderich",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Bernie McGlynn Lumber / South,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
