Exhibitor print name,Company,Sharon category,Proven containing area,Area identifier,Sept 17 Excel row,Status
LaSalle Agri Inc.,LaSalle Agri Inc.,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,166,ADDED TO NON-PRODUCTION CANDIDATE
Libro Credit Union,Libro Credit Union,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,170,ADDED TO NON-PRODUCTION CANDIDATE
London Eco-Metal Manufacturing,London Eco-Metal Manufacturing,Rural Living 1,Rural Living Tent #1,4A 16–21,176,ADDED TO NON-PRODUCTION CANDIDATE
Meat & Poultry Ontario,Ontario Independent Meat Processors Association o/a Meat & Poultry Ontario,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,188,ADDED TO NON-PRODUCTION CANDIDATE
Mineva Water,Water Refined Inc. Iba Mineva Water,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,194,ADDED TO NON-PRODUCTION CANDIDATE
MowUcontrol,Cornerstone Consulting Services Canada Inc,Rural Living 1,Rural Living Tent #1,4A 16–21,196,ADDED TO NON-PRODUCTION CANDIDATE
Ontario Agri-Food Discovery Centre,Ontario Agri-Food Discovery Centre,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,211,ADDED TO NON-PRODUCTION CANDIDATE
Ontario Bean Growers,Ontario Bean Growers,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,213,ADDED TO NON-PRODUCTION CANDIDATE
Ontario Dairy Goat Co-operative,Ontario Dairy Goat Co-operative ,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,215,ADDED TO NON-PRODUCTION CANDIDATE
Pro Fleet Care,Pro Fleet Care,Rural Living 2,Rural Living Tent #2,4B 17–22,235,ADDED TO NON-PRODUCTION CANDIDATE
ProResp Inc,ProResp Inc,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,236,ADDED TO NON-PRODUCTION CANDIDATE
Quality Seeds Ltd,Quality Seeds Ltd,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,238,ADDED TO NON-PRODUCTION CANDIDATE
"Royal Bank of Canada (""RBC"")",Royal Bank of Canada,Commercial,Commercial Market Tent,4A 05–10,246,ADDED TO NON-PRODUCTION CANDIDATE
