name,locationLabel,boothCount,class,reason,lotCount,exactVsParent,status
"Propane Ltd., Stratford","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Eastern Ontario Wardens’ Caucus","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Goderich Port Management","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Corporation, Goderich","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Grey Bruce Ontario Health Team, Owen Sound","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Hear Canada","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"McDougall Energy Inc., Sault Ste. Marie","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Meat & Poultry Ontario, Guelph","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Ontario Agri-Food Discovery Centre, Listowel","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Rural Ontario Institute/AALP","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Skills Ontario, Waterloo","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Western Ontario Wardens’ Caucus","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Aecon","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Bruce Power, Tiverton","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Canadian Union of Skilled","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Workers, Teeswater","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Candu Energy Inc, an AtkinsRéalis company, Port Elgin","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Kinectrics Inc., Toronto","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"LIUNA Local 1059, London","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Ontario Power Generation (OPG), Tiverton","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Power Workers’ Union","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Society of United Professionals, Toronto","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"UBC Local 2222, Kincardine","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Amabel Books, Allenford","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Equestrian Elite, Durham","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Flora and Fae, Tara","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
